"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"23","ITC","Itc Limited",500875,"0.69","461.8","2314815","2024-07-12","09:56:27","Tobacco Products","2024-07-12 09:56:27.292016+05:30"
"24","BAJAJCON","Bajaj Consumer Care Ltd",533229,"0.09","270.4","31058","2024-07-12","09:56:27","FMCG","2024-07-12 09:56:27.292016+05:30"
"25","DOLATALGO","Dolat Algotech Ltd",505526,"5.21","135.48","649497","2024-07-12","09:56:27","Finance","2024-07-12 09:56:27.292016+05:30"
"26","GEOJITFSL","Geojit Financial Services",532285,"-0.83","104.05","579008","2024-07-12","09:56:27","Stock/ Commodity Brokers","2024-07-12 09:56:27.292016+05:30"
"27","LLOYDSENGG","Lloyds Engineering Works Ltd",539992,"0.56","84.21","1481064","2024-07-12","09:56:27","Capital Goods-Non Electrical Equipment","2024-07-12 09:56:27.292016+05:30"
"28","TIRUPATIFL","Tirupati Forge Ltd",535021,"4.98","31.17","379098","2024-07-12","09:56:27","Castings, Forgings & Fastners","2024-07-12 09:56:27.292016+05:30"
"29","TCS","Tata Consultancy Services Limited",532540,"3.6","4065.1","3756551","2024-07-12","10:46:21","IT - Software","2024-07-12 10:46:21.47398+05:30"
"30","LTIM","LTI Mindtree Ltd",540005,"3.28","5584.7","377838","2024-07-12","10:47:35","IT - Software","2024-07-12 10:47:35.2939+05:30"
"31","PIIND","Pi Industries Limited",523642,"1.4","3916.1","243435","2024-07-12","11:05:28","Agro Chemicals","2024-07-12 11:05:28.417639+05:30"
"32","COFORGE","Coforge (Niit Tech)",532541,"5.61","5875.4","555260","2024-07-12","11:23:28","IT - Software","2024-07-12 11:23:28.489288+05:30"
"33","KPITTECH","KPIT Technologies Ltd",542651,"4.59","1788.35","1138538","2024-07-12","11:51:43","IT - Software","2024-07-12 11:51:43.418296+05:30"
"34","CYBERTECH","Cybertech Systems And Software Limited",532173,"6.34","181.3","203740","2024-07-12","11:51:43","IT - Software","2024-07-12 11:51:43.418296+05:30"
"35","KSOLVES","Ksolves India Ltd",535356,"3.61","1157.25","17908","2024-07-12","11:57:38","IT - Software","2024-07-12 11:57:38.85206+05:30"
"36","CYIENT","Cyient Limited",532175,"6.5","1888.6","712373","2024-07-12","11:58:28","IT - Software","2024-07-12 11:58:29.05543+05:30"
"37","PERSISTENT","Persistent Systems Limited",533179,"5.59","4876.4","596768","2024-07-12","12:06:24","IT - Software","2024-07-12 12:06:24.184452+05:30"
"38","NEWGEN","Newgen Software Technologies Ltd",540900,"8.06","1036.5","284784","2024-07-12","12:33:20","IT - Software","2024-07-12 12:33:20.416449+05:30"
"39","SUNTV","Sun Tv Network Limited",532733,"0.38","814.8","2645879","2024-07-12","13:41:37","Entertainment","2024-07-12 13:41:38.015172+05:30"
"40","BSOFT","Birlasoft Ltd",532400,"5.11","731.6","7436373","2024-07-12","14:40:30","IT - Software","2024-07-12 14:40:30.25572+05:30"
"41","DRREDDY","Dr. Reddy's Laboratories Limited",500124,"1.54","6696.3","467508","2024-07-12","15:10:44","Pharmaceuticals","2024-07-12 15:10:44.565639+05:30"
"42","SAFARI","Safari Industries (India) Ltd",523025,"6.15","2260.25","20096","2024-07-15","09:22:08","Plastic products","2024-07-15 09:22:08.401127+05:30"
"43","RPGLIFE","Rpg Life Sciences Limited",532983,"6.79","1669","13088","2024-07-15","09:25:14","Pharmaceuticals","2024-07-15 09:25:14.213205+05:30"
"44","TANLA","Tanla Solutions Limited",532790,"7.39","1023.2","562005","2024-07-15","09:25:14","IT - Software","2024-07-15 09:25:14.213205+05:30"
"45","MAPMYINDIA","C.E. Info Systems Ltd",543425,"10.82","2686.8","545031","2024-07-15","09:50:42","IT - Software","2024-07-15 09:50:42.796688+05:30"
"46","GEOJITFSL","Geojit Financial Services",532285,"10.35","116.4","7239834","2024-07-15","11:12:31","Stock/ Commodity Brokers","2024-07-15 11:12:31.146975+05:30"
"47","ABBOTINDIA","Abbott India Limited",500488,"0.29","28679.65","2223","2024-07-16","09:42:35","Pharmaceuticals","2024-07-16 09:42:35.889864+05:30"
"48","GILLETTE","Gillette India Limited",507815,"0.24","7694.25","5658","2024-07-16","09:42:35","FMCG","2024-07-16 09:42:35.889864+05:30"
"49","MAPMYINDIA","C.E. Info Systems Ltd",543425,"-1.13","2480.1","37931","2024-07-16","09:42:35","IT - Software","2024-07-16 09:42:35.889864+05:30"
"50","SAFARI","Safari Industries (India) Ltd",523025,"0.45","2161.3","4206","2024-07-16","09:42:35","Plastic products","2024-07-16 09:42:35.889864+05:30"
"51","RPGLIFE","Rpg Life Sciences Limited",532983,"1.07","1658.05","3748","2024-07-16","09:42:35","Pharmaceuticals","2024-07-16 09:42:35.889864+05:30"
