"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"21","SONACOMS","Sona BLW Precision Forgings Ltd",543300,"1.68","732","585626","2024-07-12","09:56:26","Auto Ancillaries","2024-07-12 09:56:26.400407+05:30"
"22","MARICO","Marico Limited",531642,"-0.6","640.9","182532","2024-07-12","09:56:26","Edible Oil","2024-07-12 09:56:26.400407+05:30"
"23","RVNL","Rail Vikas Nigam Ltd",542649,"0.72","634.55","20695667","2024-07-12","09:56:26","Infrastructure Developers & Operators","2024-07-12 09:56:26.400407+05:30"
"24","HDFCLIFE","HDFC Life Insurance Company Ltd",540777,"-0.58","630.55","353141","2024-07-12","09:56:26","Insurance","2024-07-12 09:56:26.400407+05:30"
"25","DABUR","Dabur India Limited",500096,"0.14","630.2","153131","2024-07-12","09:56:26","FMCG","2024-07-12 09:56:26.400407+05:30"
"26","JUBLINGREA","Jubilant Ingrevia Ltd",543271,"0.38","601.25","190292","2024-07-12","09:56:26","Chemicals","2024-07-12 09:56:26.400407+05:30"
"27","HBLPOWER","Hbl Power Systems Limited",517271,"0.32","588","333235","2024-07-12","09:56:26","Auto Ancillaries","2024-07-12 09:56:26.400407+05:30"
"28","RAILTEL","Railtel Corporation of India Ltd",543265,"7.06","556.85","7021571","2024-07-12","09:56:26","Telecomm-Service","2024-07-12 09:56:26.400407+05:30"
"29","PNCINFRA","Pnc Infratech Limited",539150,"1.19","530.9","268540","2024-07-12","09:56:26","Infrastructure Developers & Operators","2024-07-12 09:56:26.400407+05:30"
"30","BALRAMCHIN","Balrampur Chini Mills Limited",500038,"0.47","447.15","1081137","2024-07-12","09:56:26","Sugar","2024-07-12 09:56:26.400407+05:30"
"31","GMDCLTD","Gujarat Mineral Development Corporation Limited",532181,"-0.05","422.7","375853","2024-07-12","09:56:26","Mining & Mineral products","2024-07-12 09:56:26.400407+05:30"
"32","KRBL","Krbl Limited",530813,"3.06","330","796191","2024-07-12","09:56:26","FMCG","2024-07-12 09:56:26.400407+05:30"
"33","INDIACEM","The India Cements Limited",530005,"-0.52","303.3","875656","2024-07-12","09:56:26","Cement","2024-07-12 09:56:26.400407+05:30"
"34","ENGINERSIN","Engineers India Limited",532178,"0.5","291.7","5202611","2024-07-12","09:56:26","Infrastructure Developers & Operators","2024-07-12 09:56:26.400407+05:30"
"35","NIACL","New India Assurance Company Ltd",540769,"-0.06","286.64","810647","2024-07-12","09:56:26","Insurance","2024-07-12 09:56:26.400407+05:30"
"36","FSL","Firstsource Solutions Limited",532809,"2.39","245.91","1159654","2024-07-12","09:56:26","IT - Software","2024-07-12 09:56:26.400407+05:30"
